date,statarb
2025-01-08,7.967790113
2025-01-09,8.118530964
2025-01-10,8.079558204
2025-01-11,8.03372104
2025-01-12,8.018340097
2025-01-13,8.121780878
2025-01-14,7.973314702
2025-01-15,8.113285828
2025-01-16,8.195952656
2025-01-17,8.253677871
2025-01-18,8.342982111
2025-01-19,8.80941342
2025-01-20,8.752101966
2025-01-21,8.843290544
2025-01-22,8.855619601
2025-01-23,8.747229618
2025-01-24,8.781668141
2025-01-25,8.896328885
2025-01-26,8.871779896
2025-01-27,9.11520533
2025-01-28,8.940633494
2025-01-29,9.440303993
2025-01-30,9.333910957
2025-01-31,9.701839593
2025-02-01,9.908345532
2025-02-02,9.730787857
2025-02-03,9.968492885
2025-02-04,9.97788758
2025-02-05,9.757110694
2025-02-06,10.01635602
2025-02-07,9.96435636
2025-02-08,9.810484403
2025-02-09,9.740241944
2025-02-10,9.835108873
2025-02-11,9.816144684
2025-02-12,10.15762935
2025-02-13,10.10932753
2025-02-14,10.12708459
2025-02-15,10.00865579
2025-02-16,10.17112437
2025-02-17,10.26250355
2025-02-18,10.3184603
2025-02-19,10.29315432
2025-02-20,10.32333738
2025-02-21,10.21667368
2025-02-22,10.2280387
2025-02-23,10.07845165
2025-02-24,10.23822065
2025-02-25,10.402878
2025-02-26,10.31052824
2025-02-27,9.947280156
2025-02-28,9.940812514
2025-03-01,9.870386896
2025-03-02,9.958035619
2025-03-03,10.05486748
2025-03-04,10.14017422
2025-03-05,10.13049915
2025-03-06,10.03960453
2025-03-07,10.06074504
2025-03-08,10.13686936
2025-03-09,10.0948566
2025-03-10,10.08781344
2025-03-11,10.46593904
2025-03-12,10.62105201
2025-03-13,10.70516072
2025-03-14,10.68030877
2025-03-15,10.61401053
2025-03-16,10.64918589
2025-03-17,10.8522451
2025-03-18,10.98170522
2025-03-19,10.89533117
2025-03-20,10.84260422
2025-03-21,10.8219796
2025-03-22,11.07935527
2025-03-23,10.61145728
2025-03-24,10.25837948
2025-03-25,10.27120219
2025-03-26,10.20291487
2025-03-27,10.42199433
2025-03-28,10.5304298
2025-03-29,10.53653821
2025-03-30,10.45064828
2025-03-31,10.42142282
2025-04-01,10.34264249
2025-04-02,10.92974053
2025-04-03,10.92132274
2025-04-04,10.93828044
2025-04-05,10.99235887
2025-04-06,11.03152771
2025-04-07,11.23052291
2025-04-08,11.20210378
2025-04-09,11.00152031
2025-04-10,11.05400443
2025-04-11,11.1115841
2025-04-12,11.1003369
2025-04-13,11.01436827
2025-04-14,10.90631768
2025-04-15,11.04681227
2025-04-16,11.01433098
2025-04-17,10.93541099
2025-04-18,10.87612384
